gaiaid,Galactic_Longitude,Galactic_Latitude,A_G,feh,feh_e
6226585956422527616,337.426828710891,27.634434755464824,0.0864823560362284,-1.61,0.22
630421935431871232,208.4295679376679,53.10369818455264,0.0385549419767422,-1.49,0.1
6380659528686603008,311.2120342885028,-43.24299540670307,0.0185319334363346,-1.79,0.1
6483680332235888896,355.33404903831206,-43.11583098143866,0.0119286008325832,-1.6,0.14
6570585628216929408,1.02325696598676,-55.620417576340536,0.0072423647912112,-2.13,0.1
6573170751851975936,0.5630303440646625,-54.208278206142765,0.007881396978671,-2.89,0.1
6701724002113004928,340.64074374381653,-14.472431786913276,0.0937247208274397,-1.7,0.13
6730211038418525056,358.1000806815984,-15.570072655931126,0.0581519290588432,-1.55,0.13
6787617919184986496,15.69812174261297,-43.17503233382032,0.0786009590575573,-1.65,0.13
1009665142487836032,176.06979300404487,41.65119886274577,0.0140587081241159,-1.64,0.1
1058066262817534336,133.44873102840722,48.27021591366565,0.0119286008325832,-1.91,0.1
1286188056265485952,50.85322162890495,67.34743845449967,0.0117155901034299,-0.49,0.1
1483653713185923072,71.81212699330719,70.95787957613837,0.0140587081241159,-1.32,0.14
1533880980593444352,139.54746278435414,75.93529450825397,0.0183189227071813,-2.35,0.13
1561928427003019520,109.75705828409173,62.0570139142792,0.0106505364576636,-1.39,0.1
1683444631038133248,127.26671176078244,47.33331474331934,0.0159758046864954,-1.33,0.1
1760981190300823808,58.46974205484809,-18.844857726657512,0.0568738646839236,-0.54,0.1
2073691475601022336,75.14438753577785,6.947173224051046,0.1989520210291561,-0.56,0.1
2073795929206140416,75.59999273200685,6.85925685334003,0.1535807357195091,-1.3,0.1
2075326037075060352,76.41127785050111,6.566802700952607,0.2127977184241188,-0.19,0.1
2080455705486937728,79.53959222804772,11.395153591581588,0.0653942938500545,-1.42,0.14
2099623285533405952,69.86746402757038,13.553900415676154,0.0662463367666676,-2.68,0.11
2101971601853190912,74.54885604199373,12.534538019142555,0.0406850492682749,-1.47,0.1
2104438871583819904,71.01710556008838,17.700735835148766,0.0374898883309758,-0.3,0.1
2105468529864072704,73.11224915974591,15.064098162666893,0.0293954806231515,-2.03,0.1
2110264427784391168,68.59118691762937,20.36835809188012,0.028969459164845,-0.44,0.1
2119119619555858944,75.65436296741076,19.58964573777572,0.0334426844770637,-1.97,0.1
2127818405800967936,78.3632999682723,14.913968339292524,0.0251352660400861,-0.73,0.1
2127827579851196800,78.61612165638084,14.95743975376334,0.0225791372902468,-0.19,0.1
2128131113782390144,79.36132848936799,11.889548421376777,0.0587909612463031,-1.41,0.15
2130324914355524992,77.06720318213874,16.302216351351536,0.0283304269773851,-1.3,0.1
